"Код показателя
по составу"	"Код показателя
в форме отчета"	"Признак 
многострочности"	Тип данных	"Кол-во строк
многострочной группы"	"Вариант
заполнения"					
П000100110004			Е		4					
П000100110005			Е		4					
П000100110006			Е		4					
П000100111004			Е		3					
П000100111005			Е		3					
П000100111006			Е		3					
П000101110104			Е		3					
П000101110105			Е		3					
П000101110106			Е		3					
П000101110204			Е		3					
П000101110205			Е		3					
П000101110206			Е		3					
П000101119902		/	С	1	0					
П000101119903		/	С	1	0					
П000101119904		/	Е	1	0					
П000101119905		/	Е	1	0					
П000101119906		/	Е	1	0					
										
П000100112004			Е		3					
П000100112005			Е		3					
П000100112006			Е		3					
П000101120104			Е		3					
П000101120105			Е		3					
П000101120106			Е		3					
П000101120204			Е		3					
П000101120205			Е		3					
П000101120206			Е		3					
П000101129902		/	С	1	0					
П000101129903		/	С	1	0					
П000101129904		/	Е	1	0					
П000101129905		/	Е	1	0					
П000101129906		/	Е	1	0					
										
П000100113004			Е		3					
П000100113005			Е		3					
П000100113006			Е		3					
П000101130104			Е		3					
П000101130105			Е		3					
П000101130106			Е		3					
П000101130204			Е		3					
П000101130205			Е		3					
П000101130206			Е		3					
П000101130304			Е		3					
П000101130305			Е		3					
П000101130306			Е		3					
П000101130404			Е		3					
П000101130405			Е		3					
П000101130406			Е		3					
П000101130504			Е		3					
П000101130505			Е		3					
П000101130506			Е		3					
П000101130604			Е		3					
П000101130605			Е		3					
П000101130606			Е		3					
П000101130704			Е		3					
П000101130705			Е		3					
П000101130706			Е		3					
П000101130804			Е		3					
П000101130805			Е		3					
П000101130806			Е		3					
П000101139902		/	С	1	0					
П000101139903		/	С	1	0					
П000101139904		/	Е	1	0					
П000101139905		/	Е	1	0					
П000101139906		/	Е	1	0					
										
П000100114004			Е		3					
П000100114005			Е		3					
П000100114006			Е		3					
П000101140104			Е		3					
П000101140105			Е		3					
П000101140106			Е		3					
П000101140204			Е		3					
П000101140205			Е		3					
П000101140206			Е		3					
П000101140304			Е		3					
П000101140305			Е		3					
П000101140306			Е		3					
П000101140404			Е		3					
П000101140405			Е		3					
П000101140406			Е		3					
П000101149902		/	С	1	0					
П000101149903		/	С	1	0					
П000101149904		/	Е	1	0					
П000101149905		/	Е	1	0					
П000101149906		/	Е	1	0					
										
П000100115004			Е		3					
П000100115005			Е		3					
П000100115006			Е		3					
П000101150104			Е		3					
П000101150105			Е		3					
П000101150106			Е		3					
П000101159902		/	С	1	0					
П000101159903		/	С	1	0					
П000101159904		/	Е	1	0					
П000101159905		/	Е	1	0					
П000101159906		/	Е	1	0					
										
П000100116004			Е		3					
П000100116005			Е		3					
П000100116006			Е		3					
П000101169902		/	С	1	0					
П000101169903		/	С	1	0					
П000101169904		/	Е	1	0					
П000101169905		/	Е	1	0					
П000101169906		/	Е	1	0					
										
П000100117004			Е		3					
П000100117005			Е		3					
П000100117006			Е		3					
П000101170104			Е		3					
П000101170105			Е		3					
П000101170106			Е		3					
П000101170204			Е		3					
П000101170205			Е		3					
П000101170206			Е		3					
П000101170304			Е		3					
П000101170305			Е		3					
П000101170306			Е		3					
П000101179902		/	С	1	0					
П000101179903		/	С	1	0					
П000101179904		/	Е	1	0					
П000101179905		/	Е	1	0					
П000101179906		/	Е	1	0					
										
П000100120004			Е		4					
П000100120005			Е		4					
П000100120006			Е		4					
П000100121004			Е		3					
П000100121005			Е		3					
П000100121006			Е		3					
П000101210104			Е		3					
П000101210105			Е		3					
П000101210106			Е		3					
П000101210204			Е		3					
П000101210205			Е		3					
П000101210206			Е		3					
П000101210304			Е		3					
П000101210305			Е		3					
П000101210306			Е		3					
П000101210404			Е		3					
П000101210405			Е		3					
П000101210406			Е		3					
П000101210504			Е		3					
П000101210505			Е		3					
П000101210506			Е		3					
П000101210604			Е		3					
П000101210605			Е		3					
П000101210606			Е		3					
П000101210704			Е		3					
П000101210705			Е		3					
П000101210706			Е		3					
П000101210804			Е		3					
П000101210805			Е		3					
П000101210806			Е		3					
П000101210904			Е		3					
П000101210905			Е		3					
П000101210906			Е		3					
П000101211004			Е		3					
П000101211005			Е		3					
П000101211006			Е		3					
П000101211104			Е		3					
П000101211105			Е		3					
П000101211106			Е		3					
П000101211204			Е		3					
П000101211205			Е		3					
П000101211206			Е		3					
П000101219902		/	С	1	0					
П000101219903		/	С	1	0					
П000101219904		/	Е	1	0					
П000101219905		/	Е	1	0					
П000101219906		/	Е	1	0					
										
П000100122004			Е		3					
П000100122005			Е		3					
П000100122006			Е		3					
П000101220104			Е		3					
П000101220105			Е		3					
П000101220106			Е		3					
П000101220204			Е		3					
П000101220205			Е		3					
П000101220206			Е		3					
П000101220304			Е		3					
П000101220305			Е		3					
П000101220306			Е		3					
П000101220404			Е		3					
П000101220405			Е		3					
П000101220406			Е		3					
П000101220504			Е		3					
П000101220505			Е		3					
П000101220506			Е		3					
П000101220604			Е		3					
П000101220605			Е		3					
П000101220606			Е		3					
П000101220704			Е		3					
П000101220705			Е		3					
П000101220706			Е		3					
П000101229902		/	С	1	0					
П000101229903		/	С	1	0					
П000101229904		/	Е	1	0					
П000101229905		/	Е	1	0					
П000101229906		/	Е	1	0					
										
П000100123004			Е		3					
П000100123005			Е		3					
П000100123006			Е		3					
П000101230104			Е		3					
П000101230105			Е		3					
П000101230106			Е		3					
П000101230204			Е		3					
П000101230205			Е		3					
П000101230206			Е		3					
П000101230304			Е		3					
П000101230305			Е		3					
П000101230306			Е		3					
П000101230404			Е		3					
П000101230405			Е		3					
П000101230406			Е		3					
П000101230504			Е		3					
П000101230505			Е		3					
П000101230506			Е		3					
П000101230604			Е		3					
П000101230605			Е		3					
П000101230606			Е		3					
П000101230704			Е		3					
П000101230705			Е		3					
П000101230706			Е		3					
П000101230804			Е		3					
П000101230805			Е		3					
П000101230806			Е		3					
П000101230904			Е		3					
П000101230905			Е		3					
П000101230906			Е		3					
П000101239902		/	С	1	0					
П000101239903		/	С	1	0					
П000101239904		/	Е	1	0					
П000101239905		/	Е	1	0					
П000101239906		/	Е	1	0					
										
П000100124004			Е		3					
П000100124005			Е		3					
П000100124006			Е		3					
П000101240104			Е		3					
П000101240105			Е		3					
П000101240106			Е		3					
П000101240204			Е		3					
П000101240205			Е		3					
П000101240206			Е		3					
П000101240304			Е		3					
П000101240305			Е		3					
П000101240306			Е		3					
П000101240404			Е		3					
П000101240405			Е		3					
П000101240406			Е		3					
П000101240504			Е		3					
П000101240505			Е		3					
П000101240506			Е		3					
П000101240604			Е		3					
П000101240605			Е		3					
П000101240606			Е		3					
П000101240704			Е		3					
П000101240705			Е		3					
П000101240706			Е		3					
П000101249902		/	С	1	0					
П000101249903		/	С	1	0					
П000101249904		/	Е	1	0					
П000101249905		/	Е	1	0					
П000101249906		/	Е	1	0					
										
П000100125004			Е		3					
П000100125005			Е		3					
П000100125006			Е		3					
П000101250104			Е		3					
П000101250105			Е		3					
П000101250106			Е		3					
П000101250204			Е		3					
П000101250205			Е		3					
П000101250206			Е		3					
П000101250304			Е		3					
П000101250305			Е		3					
П000101250306			Е		3					
П000101250404			Е		3					
П000101250405			Е		3					
П000101250406			Е		3					
П000101250504			Е		3					
П000101250505			Е		3					
П000101250506			Е		3					
П000101250604			Е		3					
П000101250605			Е		3					
П000101250606			Е		3					
П000101250704			Е		3					
П000101250705			Е		3					
П000101250706			Е		3					
П000101250804			Е		3					
П000101250805			Е		3					
П000101250806			Е		3					
П000101250904			Е		3					
П000101250905			Е		3					
П000101250906			Е		3					
П000101251004			Е		3					
П000101251005			Е		3					
П000101251006			Е		3					
П000101251104			Е		3					
П000101251105			Е		3					
П000101251106			Е		3					
П000101259902		/	С	1	0					
П000101259903		/	С	1	0					
П000101259904		/	Е	1	0					
П000101259905		/	Е	1	0					
П000101259906		/	Е	1	0					
										
