"Код показателя
по составу"	"Код показателя
в форме отчета"	"Признак 
многострочности"	Тип данных	"Кол-во строк
многострочной группы"	"Вариант
заполнения"
Отчет о целевом использовании полученных средств					
П000100610004			Е		0
П000100621004			Е		0
П000100621504			Е		0
П000100622004			Е		0
П000100623004			Е		0
П000100624004			Е		0
П000100625004			Е		0
П000100620004			Е		4
П000100631004			Е		4
П000100631104			Е		0
П000100631204			Е		0
П000100631304			Е		0
П000100632004			Е		4
П000100632104			Е		0
П000100632204			Е		0
П000100632304			Е		0
П000100632404			Е		0
П000100632504			Е		0
П000100632604			Е		0
П000100633004			Е		0
П000100635004			Е		0
П000100630004			Е		4
П000100640004			Е		4
					
П000100610005			Е		0
П000100621005			Е		0
П000100621505			Е		0
П000100622005			Е		0
П000100623005			Е		0
П000100624005			Е		0
П000100625005			Е		0
П000100620005			Е		4
П000100631005			Е		4
П000100631105			Е		0
П000100631205			Е		0
П000100631305			Е		0
П000100632005			Е		4
П000100632105			Е		0
П000100632205			Е		0
П000100632305			Е		0
П000100632405			Е		0
П000100632505			Е		0
П000100632605			Е		0
П000100633005			Е		0
П000100635005			Е		0
П000100630005			Е		4
П000100640005			Е		4
					
Отчет о целевом использовании полученных средств для БАУ					
П000100610004			Е		3
П000100621004			Е		3
П000100621504			Е		3
П000100622004			Е		3
П000100623004			Е		3
П000100624004			Е		3
П000100625004			Е		3
П000100620004			Е		4
П000100631004			Е		4
П000100631104			Е		3
П000100631204			Е		3
П000100631304			Е		3
П000100632004			Е		4
П000100632104			Е		3
П000100632204			Е		3
П000100632304			Е		3
П000100632404			Е		3
П000100632504			Е		3
П000100632604			Е		3
П000100633004			Е		3
П000100635004			Е		3
П000100630004			Е		4
П000100640004			Е		4
					
П000100610005			Е		3
П000100621005			Е		3
П000100621505			Е		3
П000100622005			Е		3
П000100623005			Е		3
П000100624005			Е		3
П000100625005			Е		3
П000100620005			Е		4
П000100631005			Е		4
П000100631105			Е		3
П000100631205			Е		3
П000100631305			Е		3
П000100632005			Е		4
П000100632105			Е		3
П000100632205			Е		3
П000100632305			Е		3
П000100632405			Е		3
П000100632505			Е		3
П000100632605			Е		3
П000100633005			Е		3
П000100635005			Е		3
П000100630005			Е		4
П000100640005			Е		4
					
Отчет об изменениях капитала					
П000100310003			Е		3
П000100310004			Е		3
П000100310005			Е		3
П000100310006			Е		3
П000100310007			Е		3
П000100310008			Е		4
					
П000100320003			Е		3
П000100320004			Е		3
П000100320005			Е		3
П000100320006			Е		3
П000100320007			Е		3
П000100320008			Е		4
П000100321003			Е		4
П000100321004			Е		4
П000100321005			Е		4
П000100321006			Е		4
П000100321007			Е		4
П000100321008			Е		4
П000100321107			Е		3
П000100321108			Е		4
П000100321205			Е		3
П000100321207			Е		0
П000100321208			Е		4
П000100321305			Е		0
П000100321307			Е		0
П000100321308			Е		4
П000100321403			Е		0
П000100321404			Е		0
П000100321405			Е		0
П000100321408			Е		4
П000100321503			Е		0
П000100321504			Е		0
П000100321505			Е		0
П000100321507			Е		0
П000100321603			Е		0
П000100321604			Е		0
П000100321605			Е		0
П000100321606			Е		0
П000100321607			Е		0
П000100321608			Е		4
					
П100100321001		/	С	1	0
П100100321003		/	Е	1	0
П100100321004		/	Е	1	0
П100100321005		/	Е	1	0
П100100321006		/	Е	1	0
П100100321007		/	Е	1	0
П100100321008		/	Е	1	4
					
П000100322003			Е		4
П000100322004			Е		4
П000100322005			Е		4
П000100322006			Е		4
П000100322007			Е		4
П000100322008			Е		4
П000100322107			Е		3
П000100322108			Е		4
П000100322205			Е		3
П000100322207			Е		0
П000100322208			Е		4
П000100322305			Е		0
П000100322307			Е		0
П000100322308			Е		4
П000100322403			Е		0
П000100322404			Е		0
П000100322405			Е		0
П000100322407			Е		0
П000100322408			Е		4
П000100322503			Е		0
П000100322504			Е		0
П000100322505			Е		0
П000100322507			Е		0
П000100322508			Е		4
П000100322603			Е		0
П000100322604			Е		0
П000100322605			Е		0
П000100322606			Е		0
П000100322607			Е		0
П000100322608			Е		4
П000100322707			Е		3
П000100322708			Е		4
П000100323005			Е		0
П000100323006			Е		0
П000100323007			Е		0
П000100324006			Е		3
П000100324007			Е		4
					
П100100324001		/	С	1	0
П100100324003		/	Е	1	0
П100100324004		/	Е	1	0
П100100324005		/	Е	1	0
П100100324006		/	Е	1	0
П100100324007		/	Е	1	0
П100100324008		/	Е	1	0
					
П000100330003			Е		3
П000100330004			Е		3
П000100330005			Е		3
П000100330006			Е		3
П000100330007			Е		3
П000100330008			Е		4
П000100331003			Е		4
П000100331004			Е		4
П000100331005			Е		4
П000100331006			Е		4
П000100331007			Е		4
П000100331008			Е		4
П000100331107			Е		3
П000100331108			Е		4
П000100331205			Е		3
П000100331207			Е		0
П000100331208			Е		4
П000100331305			Е		0
П000100331307			Е		0
П000100331308			Е		4
П000100331403			Е		0
П000100331404			Е		0
П000100331405			Е		0
П000100331408			Е		4
П000100331503			Е		0
П000100331504			Е		0
П000100331505			Е		0
П000100331507			Е		0
П000100331603			Е		0
П000100331604			Е		0
П000100331605			Е		0
П000100331606			Е		0
П000100331607			Е		0
П000100331608			Е		4
					
П100100331001		/	С	1	0
П100100331003		/	Е	1	0
П100100331004		/	Е	1	0
П100100331005		/	Е	1	0
П100100331006		/	Е	1	0
П100100331007		/	Е	1	0
П100100331008		/	Е	1	4
					
П000100332003			Е		4
П000100332004			Е		4
П000100332005			Е		4
П000100332006			Е		4
П000100332007			Е		4
П000100332008			Е		4
П000100332107			Е		3
П000100332108			Е		4
П000100332205			Е		3
П000100332207			Е		0
П000100332208			Е		4
П000100332305			Е		0
П000100332307			Е		0
П000100332308			Е		4
П000100332403			Е		0
П000100332404			Е		0
П000100332405			Е		0
П000100332407			Е		0
П000100332408			Е		4
П000100332503			Е		0
П000100332504			Е		0
П000100332505			Е		0
П000100332507			Е		0
П000100332508			Е		4
П000100332603			Е		0
П000100332604			Е		0
П000100332605			Е		0
П000100332606			Е		0
П000100332607			Е		0
П000100332608			Е		4
П000100332707			Е		3
П000100332708			Е		4
П000100333005			Е		0
П000100333006			Е		0
П000100333007			Е		0
П000100334006			Е		3
П000100334007			Е		4
					
П100100334001		/	С	1	0
П100100334003		/	Е	1	0
П100100334004		/	Е	1	0
П100100334005		/	Е	1	0
П100100334006		/	Е	1	0
П100100334007		/	Е	1	0
П100100334008		/	Е	1	0
					
П000100340003			Е		3
П000100340004			Е		3
П000100340005			Е		4
П000100340006			Е		3
П000100340103			Е		3
П000100340104			Е		3
П000100340105			Е		4
П000100340106			Е		3
					
П100100340001		/	С	1	0
П100100340002		/	С	1	0
П100100340003		/	Е	1	0
П100100340004		/	Е	1	0
П100100340005		/	Е	1	0
П100100340006		/	Е	1	4
					
П100100341002		/	С	1	0
П100100341003		/	Е	1	0
П100100341004		/	Е	1	0
П100100341005		/	Е	1	0
П100100341006		/	Е	1	4
					
П100100342002		/	С	1	0
П100100342003		/	Е	1	0
П100100342004		/	Е	1	0
П100100342005		/	Е	1	0
П100100342006		/	Е	1	4
					
П100100350002		/	С	1	0
П100100350003		/	Е	1	4
П100100350004		/	Е	1	4
П100100350005		/	Е	1	4
П100100350006		/	Е	1	4
					
П000100341003			Е		4
П000100341004			Е		4
П000100341005			Е		4
П000100341006			Е		4
П000100341103			Е		0
П000100341104			Е		0
П000100341105			Е		0
П000100341106			Е		4
П000100342003			Е		4
П000100342004			Е		4
П000100342005			Е		4
П000100342006			Е		4
П000100342103			Е		0
П000100342104			Е		0
П000100342105			Е		0
П000100342106			Е		4
П000100350003			Е		4
П000100350004			Е		4
П000100350005			Е		4
П000100350006			Е		4
П000100350103			Е		4
П000100350104			Е		4
П000100350105			Е		4
П000100350106			Е		4
					
П000100360003			Е		0
П000100360004			Е		0
П000100360005			Е		0
					
Отчет об изменениях капитала с 1 ноября 2014 г.					
П000100310003			Е		3
П000100310004			Е		3
П000100310005			Е		3
П000100310006			Е		3
П000100310007			Е		3
П000100310008			Е		4
					
П000100320003			Е		3
П000100320004			Е		3
П000100320005			Е		3
П000100320006			Е		3
П000100320007			Е		3
П000100320008			Е		4
П000100321003			Е		4
П000100321004			Е		4
П000100321005			Е		4
П000100321006			Е		4
П000100321007			Е		4
П000100321008			Е		4
П000100321107			Е		3
П000100321108			Е		4
П000100321205			Е		3
П000100321207			Е		0
П000100321208			Е		4
П000100321305			Е		0
П000100321307			Е		0
П000100321308			Е		4
П000100321403			Е		0
П000100321404			Е		0
П000100321405			Е		0
П000100321408			Е		4
П000100321503			Е		0
П000100321504			Е		0
П000100321505			Е		0
П000100321507			Е		0
П000100321603			Е		0
П000100321604			Е		0
П000100321605			Е		0
П000100321606			Е		0
П000100321607			Е		0
П000100321608			Е		4
					
П100100321001		/	С	1	0
П100100321003		/	Е	1	0
П100100321004		/	Е	1	0
П100100321005		/	Е	1	0
П100100321006		/	Е	1	0
П100100321007		/	Е	1	0
П100100321008		/	Е	1	4
					
П000100322003			Е		4
П000100322004			Е		4
П000100322005			Е		4
П000100322006			Е		4
П000100322007			Е		4
П000100322008			Е		4
П000100322107			Е		3
П000100322108			Е		4
П000100322205			Е		3
П000100322207			Е		0
П000100322208			Е		4
П000100322305			Е		0
П000100322307			Е		0
П000100322308			Е		4
П000100322403			Е		0
П000100322404			Е		0
П000100322405			Е		0
П000100322407			Е		0
П000100322408			Е		4
П000100322503			Е		0
П000100322504			Е		0
П000100322505			Е		0
П000100322507			Е		0
П000100322508			Е		4
П000100322603			Е		0
П000100322604			Е		0
П000100322605			Е		0
П000100322606			Е		0
П000100322607			Е		0
П000100322608			Е		4
П000100322707			Е		3
П000100322708			Е		4
П000100323005			Е		0
П000100323006			Е		0
П000100323007			Е		0
П000100324006			Е		3
П000100324007			Е		4
					
П100100324001		/	С	1	0
П100100324003		/	Е	1	0
П100100324004		/	Е	1	0
П100100324005		/	Е	1	0
П100100324006		/	Е	1	0
П100100324007		/	Е	1	0
П100100324008		/	Е	1	0
					
П000100330003			Е		3
П000100330004			Е		3
П000100330005			Е		3
П000100330006			Е		3
П000100330007			Е		3
П000100330008			Е		4
П000100331003			Е		4
П000100331004			Е		4
П000100331005			Е		4
П000100331006			Е		4
П000100331007			Е		4
П000100331008			Е		4
П000100331107			Е		3
П000100331108			Е		4
П000100331205			Е		3
П000100331207			Е		0
П000100331208			Е		4
П000100331305			Е		0
П000100331307			Е		0
П000100331308			Е		4
П000100331403			Е		0
П000100331404			Е		0
П000100331405			Е		0
П000100331408			Е		4
П000100331503			Е		0
П000100331504			Е		0
П000100331505			Е		0
П000100331507			Е		0
П000100331603			Е		0
П000100331604			Е		0
П000100331605			Е		0
П000100331606			Е		0
П000100331607			Е		0
П000100331608			Е		4
					
П100100331001		/	С	1	0
П100100331003		/	Е	1	0
П100100331004		/	Е	1	0
П100100331005		/	Е	1	0
П100100331006		/	Е	1	0
П100100331007		/	Е	1	0
П100100331008		/	Е	1	4
					
П000100332003			Е		4
П000100332004			Е		4
П000100332005			Е		4
П000100332006			Е		4
П000100332007			Е		4
П000100332008			Е		4
П000100332107			Е		3
П000100332108			Е		4
П000100332205			Е		3
П000100332207			Е		0
П000100332208			Е		4
П000100332305			Е		0
П000100332307			Е		0
П000100332308			Е		4
П000100332403			Е		0
П000100332404			Е		0
П000100332405			Е		0
П000100332407			Е		0
П000100332408			Е		4
П000100332503			Е		0
П000100332504			Е		0
П000100332505			Е		0
П000100332507			Е		0
П000100332508			Е		4
П000100332603			Е		0
П000100332604			Е		0
П000100332605			Е		0
П000100332606			Е		0
П000100332607			Е		0
П000100332608			Е		4
П000100332707			Е		3
П000100332708			Е		4
П000100333005			Е		0
П000100333006			Е		0
П000100333007			Е		0
П000100334006			Е		3
П000100334007			Е		4
					
П100100334001		/	С	1	0
П100100334003		/	Е	1	0
П100100334004		/	Е	1	0
П100100334005		/	Е	1	0
П100100334006		/	Е	1	0
П100100334007		/	Е	1	0
П100100334008		/	Е	1	0
					
П000100340003			Е		3
П000100340004			Е		3
П000100340005			Е		4
П000100340006			Е		3
П000100340103			Е		3
П000100340104			Е		3
П000100340105			Е		4
П000100340106			Е		3
					
П100100340001		/	С	1	0
П100100340002		/	С	1	0
П100100340003		/	Е	1	0
П100100340004		/	Е	1	0
П100100340005		/	Е	1	0
П100100340006		/	Е	1	4
					
П100100341002		/	С	1	0
П100100341003		/	Е	1	0
П100100341004		/	Е	1	0
П100100341005		/	Е	1	0
П100100341006		/	Е	1	4
					
П100100342002		/	С	1	0
П100100342003		/	Е	1	0
П100100342004		/	Е	1	0
П100100342005		/	Е	1	0
П100100342006		/	Е	1	4
					
П100100350002		/	С	1	0
П100100350003		/	Е	1	4
П100100350004		/	Е	1	4
П100100350005		/	Е	1	4
П100100350006		/	Е	1	4
					
П000100341003			Е		4
П000100341004			Е		4
П000100341005			Е		4
П000100341006			Е		4
П000100341103			Е		0
П000100341104			Е		0
П000100341105			Е		0
П000100341106			Е		4
П000100342003			Е		4
П000100342004			Е		4
П000100342005			Е		4
П000100342006			Е		4
П000100342103			Е		0
П000100342104			Е		0
П000100342105			Е		0
П000100342106			Е		4
П000100350003			Е		4
П000100350004			Е		4
П000100350005			Е		4
П000100350006			Е		4
П000100350103			Е		4
П000100350104			Е		4
П000100350105			Е		4
