"Код показателя
по составу"	"Код показателя
в форме отчета"	"Признак 
многострочности"	Тип данных	"Кол-во строк
многострочной группы"	"Вариант
заполнения"					
										
П000100111004			Е		3					
П000100112004			Е		3					
П000100113004			Е		3					
П000100114004			Е		3					
П000100115004			Е		3					
П000100116004			Е		3					
П000100117004			Е		3					
П000100110004			Е		4					
П000100111005			Е		3					
П000100112005			Е		3					
П000100113005			Е		3					
П000100114005			Е		3					
П000100115005			Е		3					
П000100116005			Е		3					
П000100117005			Е		3					
П000100110005			Е		4					
П000100111006			Е		3					
П000100112006			Е		3					
П000100113006			Е		3					
П000100114006			Е		3					
П000100115006			Е		3					
П000100116006			Е		3					
П000100117006			Е		3					
П000100110006			Е		4					
										
П000100121004			Е		3					
П000100122004			Е		3					
П000100123004			Е		3					
П000100124004			Е		3					
П000100125004			Е		3					
П000100126004			Е		3					
П000100120004			Е		4					
П000100160004			Е		4					
П000100121005			Е		3					
П000100122005			Е		3					
П000100123005			Е		3					
П000100124005			Е		3					
П000100125005			Е		3					
П000100126005			Е		3					
П000100120005			Е		4					
П000100160005			Е		4					
П000100121006			Е		3					
П000100122006			Е		3					
П000100123006			Е		3					
П000100124006			Е		3					
П000100125006			Е		3					
П000100126006			Е		3					
П000100120006			Е		4					
П000100160006			Е		4					
										
П000100131004			Е		3					
П000100132004			Е		3					
П000100134004			Е		3					
П000100135004			Е		3					
П000100136004			Е		3					
П000100137004			Е		3					
П000100130004			Е		4					
П000100131005			Е		3					
П000100132005			Е		3					
П000100134005			Е		3					
П000100135005			Е		3					
П000100136005			Е		3					
П000100137005			Е		3					
П000100130005			Е		4					
П000100131006			Е		3					
П000100132006			Е		3					
П000100134006			Е		3					
П000100135006			Е		3					
П000100136006			Е		3					
П000100137006			Е		3					
П000100130006			Е		4					
										
П000100141004			Е		3					
П000100142004			Е		3					
П000100143004			Е		0					
П000100145004			Е		0					
П000100140004			Е		4					
П000100141005			Е		3					
П000100142005			Е		3					
П000100143005			Е		0					
П000100145005			Е		0					
П000100140005			Е		4					
П000100141006			Е		3					
П000100142006			Е		3					
П000100143006			Е		0					
П000100145006			Е		0					
П000100140006			Е		4					
										
П000100151004			Е		3					
П000100152004			Е		3					
П000100153004			Е		3					
П000100154004			Е		3					
П000100155004			Е		3					
П000100150004			Е		4					
П000100170004			Е		4					
П000100151005			Е		3					
П000100152005			Е		3					
П000100153005			Е		3					
П000100154005			Е		3					
П000100155005			Е		3					
П000100150005			Е		4					
П000100170005			Е		4					
П000100151006			Е		3					
П000100152006			Е		3					
П000100153006			Е		3					
П000100154006			Е		3					
П000100155006			Е		3					
П000100150006			Е		4					
П000100170006			Е		4					
П000100211004			Е		3					
П000100212004			Е		3					
П000100210004			Е		4					
П000100221004			Е		3					
П000100222004			Е		3					
П000100220004			Е		4					
П000100231004			Е		3					
П000100232004			Е		3					
П000100233004			Е		3					
П000100234004			Е		3					
П000100235004			Е		3					
П000100230004			Е		4					
П000100241004			Е		3					
П000100242104			Е		3					
П000100243004			Е		3					
П000100245004			Е		3					
П000100246004			Е		3					
П000100240004			Е		4					
П000100251004			Е		3					
П000100252004			Е		0					
П000100250004			Е		4					
П000100290004			Е		0					
П000100291004			Е		0					
										
П000100211005			Е		3					
П000100212005			Е		3					
П000100210005			Е		4					
П000100221005			Е		3					
П000100222005			Е		3					
П000100220005			Е		4					
П000100231005			Е		3					
П000100232005			Е		3					
П000100233005			Е		3					
П000100234005			Е		3					
П000100235005			Е		3					
П000100230005			Е		4					
П000100241005			Е		3					
П000100242105			Е		3					
П000100243005			Е		3					
П000100245005			Е		3					
П000100246005			Е		3					
П000100240005			Е		4					
П000100251005			Е		3					
П000100252005			Е		0					
П000100250005			Е		4					
П000100290005			Е		0					
П000100291005			Е		0					
