Код	Раздел	Ключ	Тип	Формат	"Мин. ширина
или
точность"	Макс. ширина	Обязательность	Многостраничность	Многострочность	Условие включения	Значение по умолчанию	Представление
ИдФайл			А	T	1	100	О				&ИдФайл	Идентификатор файла
ВерсПрог			А	T	1	40	О				&ВерсПрог	Версия программы, с помощью которой сформирован файл
ВерсФорм			А	T	1	5	О				5.02	Версия формата
Документ			С				О					Состав и структура документа
КНД			А	T	7	7	О				0710099	Код формы отчетности по КНД
ДатаДок			А	T	10	10	О				&ДатаДок	Дата формирования документа
Период			А	T	2	2	О				&Период	Отчетный период
ОтчетГод			А	T	4	4	О				&ОтчетГод	Отчетный год
НомКорр			А	T	1	3	О			&Период349094	&ВидДок	Номер корректировки
ОКЕИ			А	T	3	3	О				&ОКЕИ	Код по ОКЕИ
СвНП			С				О					Сведения о налогоплательщике
ОКВЭД			А	T	2	8	О				&ОКВЭД	Код вида экономической деятельности по ОКВЭД
ОКОПФ			А	T	2	2	О				&ОКОПФ	Организационно-правовая форма по ОКОПФ
ОКФС			А	T	2	2	О				&ОКФС	Форма собственности по ОКФС
ОКПО			А	T	8	10	Н				&ОКПО	Код по ОКПО
НПЮЛ			С				О					Налогоплательщик - юридическое лицо
НаимОрг			А	T	1	1000	О				&НаимОрг	Наименование организации
ИННЮЛ			А	T	10	10	О				&ИННОрг	ИНН организации
КПП			А	T	9	9	О				&КППОрг	КПП
АдрРФ			С				О					Местонахождение (адрес в Российской Федерации)
Индекс			А	T	6	6	Н				&АдрИндекс	Индекс
КодРегион			А	T	2	2	О				&АдрКодРегион	Код региона
Район			А	T	1	50	Н				&АдрРайон	Район
Город			А	T	1	50	Н				&АдрГород	Город
НаселПункт			А	T	1	50	Н				&АдрНаселПункт	Населенный пункт
Улица			А	T	1	50	Н				&АдрУлица	Улица
Дом			А	T	1	20	Н				&АдрДом	Дом
Корпус			А	T	1	20	Н				&АдрКорпус	Корпус
Кварт			А	T	1	20	Н				&АдрКварт	Квартира
Подписант			С				О					Сведения о лице, подписавшем документ
ПрПодп			А	T	1	1	О				3	Признак лица, подписавшего документ
ФИО			С				О					Фамилия, Имя, Отчество
Фамилия			А	T	1	60	О				&ФамилияРук	Фамилия
Имя			А	T	1	60	О				&ИмяРук	Имя
Отчество			А	T	1	60	Н				&ОтчествоРук	Отчество
Подписант			С				О					Сведения о лице, подписавшем документ
ПрПодп			А	T	1	1	О				4	Признак лица, подписавшего документ
ФИО			С				О					Фамилия, Имя, Отчество
Фамилия			А	T	1	60	О				&ФамилияБух	Фамилия
Имя			А	T	1	60	О				&ИмяБух	Имя
Отчество			А	T	1	60	Н				&ОтчествоБух	Отчество
Баланс	Баланс		С				О					Бухгалтерский баланс
ОКУД			А	T	7	7	О				0710001	Код формы по ОКУД
Актив			С				О					Актив
Пояснения		П000100160001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100160004	А	N		12	О					Сумма на отчетную дату отчетного периода - баланс
СумПрдщ		П000100160005	А	N		12	О					Сумма на 31 декабря предыдущего года - баланс
СумПрдшв		П000100160006	А	N		12	О					Сумма на 31 декабря года, предшествующего предыдущему - баланс
ВнеОбА			С				Н					Внеоборотные активы
Пояснения		П000100110001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100110004	А	N		12	О					Сумма на отчетную дату отчетного периода, итого
СумПрдщ		П000100110005	А	N		12	О					Сумма на 31 декабря предыдущего года, итого
СумПрдшв		П000100110006	А	N		12	О					Сумма на 31 декабря года, предшествующего предыдущему, итого
НематАкт			С				Н					Нематериальные активы
Пояснения		П000100111001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100111004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100111005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100111006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100111002	А	T	1	255	О					Наименование показателя
Пояснения		П200100111001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100111004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100111005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100111006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
РезИсслед			С				Н					Результаты исследований и разработок
Пояснения		П000100112001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100112004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100112005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100112006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100112002	А	T	1	255	О					Наименование показателя
Пояснения		П200100112001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100112004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100112005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100112006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ОснСр			С				Н					Основные средства
Пояснения		П000100113001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100113004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100113005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100113006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100113002	А	T	1	255	О					Наименование показателя
Пояснения		П200100113001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100113004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100113005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100113006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВлМатЦен			С				Н					Доходные вложения в материальные ценности
Пояснения		П000100114001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100114004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100114005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100114006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100114002	А	T	1	255	О					Наименование показателя
Пояснения		П200100114001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100114004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100114005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100114006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ФинВлож			С				Н					Финансовые вложения
Пояснения		П000100115001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100115004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100115005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100115006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100115002	А	T	1	255	О					Наименование показателя
Пояснения		П200100115001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100115004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100115005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100115006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ОтлНалАкт			С				Н					Отложенные налоговые активы
Пояснения		П000100116001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100116004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100116005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100116006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100116002	А	T	1	255	О					Наименование показателя
Пояснения		П200100116001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100116004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100116005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100116006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокВнеОбА			С				НМ					Вписываемые показатели (по внеоборотным активам)
НаимПок			А	T	1	255	О					Наименование показателя
Пояснения			А	T	1	4	Н					Номер соответствующего пояснения
СумОтч			А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ			А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв			А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ПрочВнеОбА			С				Н					Прочие внеоборотные активы
Пояснения		П000100117001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100117004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100117005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100117006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100117002	А	T	1	255	О					Наименование показателя
Пояснения		П200100117001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100117004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100117005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100117006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ОбА			С				Н					Оборотные активы
Пояснения		П000100120001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100120004	А	N		12	О					Сумма на отчетную дату отчетного периода, итого
СумПрдщ		П000100120005	А	N		12	О					Сумма на 31 декабря предыдущего года, итого
СумПрдшв		П000100120006	А	N		12	О					Сумма на 31 декабря года, предшествующего предыдущему, итого
Запасы			С				Н					Запасы
Пояснения		П000100121001	А	T	1	4	Н					Номер соответствующего пояснения
